time;section_name;reef_section;transect_id;point_id
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML4;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML5;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Oligocene;Porto Miggiano;proximal slope;PML6;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL1;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL2;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
