time;mean growth;genus;specimen_id;reef section
modern;12,372;;;
modern;14,895;;;
modern;13,333;;;
modern;4,625;;;
modern;4,805;;;
modern;3,423;;;
modern;18,236;;;
modern;20,014;;;
modern;5,66;;;
modern;3;;;
modern;3,4;;;
modern;4,9;;;
modern;0,6;;;
modern;1;;;
modern;1,8;;;
modern;2,1;;;
modern;1,6;;;
modern;1,3;;;
modern;19,21;;;
modern;17,08;;;
modern;16,83;;;
modern;21,59;;;
modern;15,31;;;
modern;16,1;;;
modern;19,11;;;
modern;15,42;;;
modern;0,15;;;
modern;0,25;;;
modern;0,13;;;
modern;0,1;;;
modern;0,15;;;
modern;0,21;;;
modern;0,3;;;
modern;0,17;;;
modern;0,36;;;
modern;0,32;;;
modern;0,32;;;
modern;0,4;;;
modern;0,46;;;
modern;0,24;;;
modern;0,16;;;
modern;0,1;;;
modern;0,33;;;
modern;0,28;;;
modern;0,42;;;
modern;0,38;;;
modern;0,53;;;
modern;0,62;;;
modern;0,48;;;
modern;0,37;;;
modern;4,3;;;
modern;3,5;;;
modern;1,3;;;
modern;3,7;;;
modern;4,6;;;
modern;7,6;;;
modern;0,9;;;
modern;7;;;
modern;6,8;;;
modern;8,3;;;
modern;5,8;;;
modern;6,3;;;
modern;7,3;;;
modern;8,5;;;
modern;15,04;;;
modern;6,28;;;
modern;5,8;;;
modern;4,75;;;
modern;15,2;;;
modern;11,2;;;
modern;8;;;
modern;9;;;
modern;19;;;
modern;15;;;
modern;12;;;
modern;14;;;
modern;13;;;
modern;9,17;;;
modern;9,95;;;
modern;10,41;;;
modern;9,69;;;
modern;6,54;;;
modern;2,06;;;
modern;1,56;;;
modern;3,5;;;
modern;8,4;;;
modern;3;;;
modern;7,9;;;
modern;6,34;;;
modern;4,36;;;
modern;4,75;;;
modern;11,2;;;
modern;7,2;;;
modern;53,3;;;
modern;62,9;;;
modern;37,6;;;
modern;58,5;;;
modern;24;;;
modern;32,4;;;
modern;52,8;;;
modern;2;;;
modern;6,3;;;
modern;1,8;;;
modern;18,7;;;
modern;7,4;;;
modern;14,8;;;
modern;22,5;;;
modern;21,9;;;
modern;20,9;;;
modern;23,2;;;
modern;21,9;;;
modern;18;;;
modern;23,2;;;
modern;18,4;;;
modern;20,2;;;
modern;16,3;;;
modern;13,7;;;
modern;4,8;;;
modern;5,4;;;
modern;5,9;;;
modern;6,34;;;
modern;6,5;;;
modern;6,51;;;
modern;6,6;;;
modern;7;;;
modern;7,39;;;
modern;7,48;;;
modern;7,6;;;
modern;8;;;
