time;;specimen_id;genus;Section name;latitude;longitude;height (cm);width (cm);growth mm;comments;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;8,15;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;6,13;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,43;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,04;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;6,79;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,27;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,05;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;8,92;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,5;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,89;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;8,5;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;6,13;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,43;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,04;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;6,79;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,27;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,05;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;8,9;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,5;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,89;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;8,5;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;5,38;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;7,65;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;4,41;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;2,09;;;;
Oligocene;Oligocene reef front;SC5;Porites;SC;40,038889;18,443056;60;130;2,72;;;;
Oligocene;Oligocene reef front;SC6;Porites;SC;40,040278;18,443056;45;55;4,89;;;;
